Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-14,1.0905040502548218,1.141165018081665,1.0628420114517212,1.093214988708496,51130540,0,0
2021-06-15,1.1240769624710083,1.1743570566177368,1.0941979885101318,1.1480200290679932,48962301,0,0
2021-06-16,1.1186039447784424,1.1277869939804077,1.052847981452942,1.0635420083999634,45484796,0,0
2021-06-17,1.064831018447876,1.1194950342178345,1.0598939657211304,1.0980969667434692,33815655,0,0
2021-06-18,1.0999850034713745,1.0999850034713745,0.9902470111846924,1.0086970329284668,39885516,0,0
2021-06-19,1.010414958000183,1.0276780128479004,0.9643809795379639,0.9665259718894958,42059039,0,0
2021-06-20,0.9638299942016602,0.983040988445282,0.8790000081062317,0.9629309773445129,53149484,0,0
2021-06-21,0.961080014705658,0.965794026851654,0.7438089847564697,0.7496989965438843,79211837,0,0
2021-06-22,0.7497640252113342,0.8049119710922241,0.6213679909706116,0.7166770100593567,112419978,0,0
2021-06-23,0.7158610224723816,0.835690975189209,0.6870999932289124,0.7923460006713867,68278962,0,0
2021-06-24,0.7963449954986572,0.8475149869918823,0.7481899857521057,0.8358780145645142,37718608,0,0
2021-06-25,0.83952397108078,0.8609510064125061,0.7537360191345215,0.7724760174751282,43751896,0,0
2021-06-26,0.7716280221939087,0.7973549962043762,0.7295650243759155,0.7853559851646423,34185070,0,0
2021-06-27,0.787771999835968,0.8012210130691528,0.7419559955596924,0.796546995639801,29808744,0,0
2021-06-28,0.797199010848999,0.8361420035362244,0.7861649990081787,0.8172190189361572,32026027,0,0
2021-06-29,0.8200700283050537,0.8933780193328857,0.8173360228538513,0.8399810194969177,43400011,0,0
2021-06-30,0.8427069783210754,0.8737210035324097,0.7847880125045776,0.8660320043563843,43058084,0,0
2021-07-01,0.8666120171546936,0.8666120171546936,0.7785459756851196,0.803138017654419,32469850,0,0
2021-07-02,0.8029159903526306,0.8322259783744812,0.7631019949913025,0.8287540078163147,33929219,0,0
2021-07-03,0.8278260231018066,0.8474730253219604,0.7996770143508911,0.829168975353241,28133181,0,0
2021-07-04,0.8302090167999268,0.8777300119400024,0.7976629734039307,0.8441449999809265,37850311,0,0
2021-07-05,0.8447149991989136,0.8683000206947327,0.8100150227546692,0.8200219869613647,39787635,0,0
2021-07-06,0.8203709721565247,0.8821650147438049,0.8203709721565247,0.85173499584198,38663874,0,0
2021-07-07,0.8524699807167053,0.9338520169258118,0.8382449746131897,0.8892819881439209,54243285,0,0
2021-07-08,0.8912240266799927,0.8912240266799927,0.8019359707832336,0.8163939714431763,36140362,0,0
2021-07-09,0.8150929808616638,0.8526170253753662,0.7842879891395569,0.8293889760971069,62603683,0,0
2021-07-10,0.8308809995651245,0.8421229720115662,0.7792850136756897,0.7929720282554626,28559801,0,0
2021-07-11,0.7928919792175293,0.8485699892044067,0.7796869874000549,0.8404579758644104,26321535,0,0
2021-07-12,0.8405410051345825,0.8448709845542908,0.78227698802948,0.7960079908370972,23462842,0,0
2021-07-14,0.7546682357788086,0.7574198842048645,0.7504178881645203,0.7504178881645203,33089738,0,0
